Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27275188,01/27/2014 02:36:57 PM,01/28/2014 01:20:00 PM,DOT,Department of Transportation,Street Condition,Pothole,11365,Closed
27232173,01/23/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10032,Closed
27222207,01/22/2014 10:15:27 AM,01/28/2014 11:46:20 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,10036,Closed
27267080,01/27/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27087099,01/07/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27175209,01/17/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11377,Closed
27113228,01/09/2014 09:33:00 PM,01/10/2014 11:18:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",10029,Closed
27118733,01/10/2014 05:41:05 PM,01/10/2014 07:34:17 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10019,Closed
27054073,01/04/2014 12:00:00 AM,01/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10029,Closed
27094791,01/08/2014 12:00:00 AM,01/19/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10003,Closed
27292330,01/30/2014 12:00:00 AM,02/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10452,Closed
27274166,01/28/2014 02:59:00 PM,01/29/2014 12:00:00 PM,DSNY,BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,11358,Closed
27274102,01/28/2014 11:39:00 AM,01/28/2014 01:15:35 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,11205,Closed
27266073,01/27/2014 12:00:00 AM,03/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,11385,Closed
27099706,01/08/2014 12:50:00 PM,01/08/2014 04:15:00 PM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),11694,Closed
27189945,01/19/2014 10:49:00 PM,01/19/2014 11:00:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),11203,Closed
27263569,01/27/2014 09:36:00 PM,01/30/2014 09:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10016,Closed
27221321,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11221,Closed
27260676,01/25/2014 12:00:00 AM,02/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10457,Closed
27141928,01/12/2014 09:00:55 AM,01/13/2014 12:10:00 PM,DOT,Department of Transportation,Street Condition,Pothole,11218,Closed
27028689,01/01/2014 12:00:00 AM,01/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10459,Closed
27220573,01/22/2014 06:46:00 AM,01/22/2014 12:00:00 PM,DSNY,BCC - Queens West,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11378,Closed
27036395,01/02/2014 12:00:00 AM,01/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11221,Closed
